response_id	general_frequency	recurring_story	recurring_cause	recurring_frequency	recurring_serious	recurring_outcome	serious_story	serious_cause	serious_serious	serious_outcome	field	years
R_pDGuvxLRGbALOtH	Moderate	technical errors that were not detected in time due to inexperience of researchers	equipment failure	High	Minor	frustration	mistakes in the data analysis	researchers are too time pressured	Minor	frustration	neurophysiology and physiological psychology	25
R_2uCVsIhbczMricX	Low	The online battery was not an accurate representation of the survey we needed (wrong or misleading variable names, a condition being dropped, etc.)	Different causes such as human error	Low	Minor	financial loss	NA	NA	NA	NA	social psychology	19
R_BG2zCrSq72cu5oJ	Low	Multiple people worked on the same data set at the same time which resulted in two different files each with some of the data processed.	Multiple sites were allowed to access the data set without necessarily consulting each other.	Low	Minor	time loss	All of the data collected by one of the experimenters has to be discarded because the experimenter misunderstood part of the protocol.	Misinterpretation of the protocol was probably due to insufficient oversight.	Moderate	time loss	developmental and educational psychology	19
R_PULxBT05Q47IOmR	Very Low	Forgetting to save output into my data analyses logbook, although I print hard copies for a folder.	NA	Low	Minor	frustration	"Honestly, nothing ""serious"" comes to mind."	NA	NA	NA	applied psychology	15
R_2TRUjQ7kYqmtIno	High	multiple versions of data files leading to using incorrect variables naming and transformations without documentation	bad organization! no standard workflow or procedure! we are working on changing that now.	High	Moderate	time loss	A variable was reverse-coded when it was not supposed to be	lack of standard protocols for scale scoring	Moderate	time loss	developmental and educational psychology	15
R_3saEuW4TTviBwnM	Moderate	File was lost or corrupted	researcher error.  did not save the file properly	Moderate	Moderate	time loss	mostly just time-consuming errors - I work with undergraduates and they do not value the process or the goal sufficiently	bad data entry and incorrectly saving the data	Moderate	time loss	neurophysiology and physiological psychology	32
R_usJmD25Zml44ef7	High	Use of wrong data set	Many versions of the same data set, with slight modifications, may be retained on a computer's hard drive.	Moderate	Minor	time loss	N/A	N/A	NA	NA	other	31
R_3qR5qywuGiliJsm	Low	Not labeling things well. Go back to the project years later and can't figure out what the different variables were.	Not taking good notes.  Now we keep better documentation, but it's a work in progress.  This is especially a problem for projects led by (undergraduate) students.  They're not as used to thinking of data files as something we might want to look at years later.	Low	Minor	time loss	Not sure if this counts, but survey was programmed incorrectly, which meant a big portion of the sample didn't take an important pre-test and had to be excluded.	Not enough oversight (by myself) of student work.	Moderate	financial loss	social psychology	15
R_3j27GQZJCc95DpV	Moderate	No back up	Not much time	Moderate	Major	time loss	Different databases	We had no data base which could be used by anyone	Moderate	time loss	other	35
R_1GEpvVXQjiA6JFC	Very Low	"Unclear labels and ""wrong"" or unclear reference category in econometric analysis"	Unclear documentation or simple coding misstakes	Low	Minor	frustration	Cannot recall any serious thing	NA	NA	NA	other	15
R_1ZdEcLWKTBdeOgV	Low	Administering the wrong survey to participants (i.e., participants received baseline survey at follow-up or participants in one condition received survey meant for participants in another condition).	Inexperience in data collection combined with lack of resources devoted to data collection/oversight. Over-reliance on junior team member for data collection.	Moderate	Moderate	time loss	We collected two different versions of a survey and mistakenly reported data that was missing version one responses.	Careless/lazy management of data.	Minor	erroneous conclusion	social psychology	6
R_24AdUWCIaQLvyCw	Very Low	mis classification of some microscopy photos	Unappropriate labelling of the photograph	Very Low	Minor	time loss	NA	NA	NA	NA	other	30
R_2EggCQnejEtHW3a	Low	Uninformative variable names making it difficult to re-acclimate with the data after significant passage of time.	Graduate researchers not realizing the impact of these uninformative names when initially programming studies.	Low	Minor	time loss	My graduate student and I wrote a paper based on his analysis of a data set.  I wanted to do a more sensitive analysis but when I went back to the data, I could not replicate what he had done.  We met and I realized he used the pre-coded version of an important variable.  This negated the ability to submit the paper for publication consideration.  It was my fault as I should have double checked all analyses before beginning work on a manuscript that we wouldn't be able to publish anyway.	Insufficient mentoring on my part.	Moderate	time loss	social psychology	13
R_1kY9lz7ULI6kPb3	Very High	Nope!  I am a data ninja! This is probably no help to your study. I obsess about my data.  I took this survey because I have data catastrophes.  Before using qaulltrics, I used my own servers to collect data and I was hacked destroying months of data.  I also had a hard drive crash and nooooooo backup of my data so then I eneded up losing years of data.	Failure to appreciate the importance of backing up your data.	Moderate	Extreme	time loss	I thought I did?	Samething	Extreme	time loss	experimental and cognitive psychology	15
R_cCsCmJ2M9PGyP8R	Low	software errors, could be corrected	mistake in programming	Low	Moderate	erroneous conclusion that was corrected	what is this: data management mistake caused by mistake and that mistake is caused by another mistake? is this a joke?	NA	NA	NA	experimental and cognitive psychology	50
R_2BgSfuqikIO1v0a	Moderate	Transposition errors in pasting data from different spreadsheets	Fatigue and a poor processing pipeline.	Moderate	Moderate	time loss	We overwrote new data with old data.	Several people moving data files between servers manually.	Moderate	time loss	experimental and cognitive psychology	14
R_3MrPmrUA0iU0QKQ	Very Low	NA	NA	Very Low	Insignificant	NA	NA	NA	NA	NA	developmental and educational psychology	10
R_6hDIMFdjLBO9MOd	Low	Different participant ID numbers across phases of a project made it very difficult and time consuming to put them back together again.	Using a new survey company with different procedures.	Low	Moderate	time loss	NA	NA	NA	NA	social psychology	10
R_2us0vBwhzkTkLir	Low	NA	NA	Low	Insignificant	time loss	NA	NA	Minor	time loss	experimental and cognitive psychology	15
R_2QVQCBFhAeeJNZP	Low	Mistakes at the recording stage - e.g. failure to pre-calibrate equipment, so that meaningful dependent measures cannot be extracted - failure to match stimulus list to data output files.	Inexperienced researchers.	Low	Moderate	frustration	Loss of demographic information for participants.	Incomplete archiving of data files.	Minor	time loss	experimental and cognitive psychology	20
R_3kjMa6nu9SI2Zxt	High	An investigator gives me (the statistician) a large, usually observational, dataset with poorly documented variable coding schemes or undocumented exclusion criteria. In analyzing the data, I initially make assumptions about the variable definitions that turn out to be incorrect when I discuss my uncertainties with the investigators.	The fact that investigators rarely create thorough codebooks and to programmatically exclude subjects in a clear, well-documented manner.	Moderate	Minor	time loss	Happily, I have not had a serious data-related mistake that persisted to the finally submitted article. Probably the most serious was when I led a multisite replication project, and one lab collected their large sample prematurely using the wrong questionnaire materials, meaning they had to re-run on new subjects.	As the lead author, I should have been crystal-clear that labs needed to await my approval before collecting data.	Moderate	time loss	methodology and statistics	10
R_3rJuaVQjfJOizzO	Moderate	Uninformative variables that do not help in reassessing the code (or codes with no comments).	Attempt to finish faster - which led to slower reassessment.	Moderate	Minor	time loss	Broken equipment leading to data loss.	Lack of inspection of the equipment status before data collection.	Major	financial loss	experimental and cognitive psychology	7
